Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Column 12;Column 13;Column 14;Column 15
50;Métro;CRIMEE;6175537;7;;;;;Paris;19;;;;
65;Métro;CONCORDE;5847907;1;8;12;;;Paris;8;;;;
161;Métro;CADET;3289639;7;;;;;Paris;9;;;;
233;Métro;SAINT-MARCEL;2260458;5;;;;;Paris;13;;;;
276;Métro;SULLY-MORLAND;1513782;7;;;;;Paris;4;;;;
5;RER;NANTERRE-PREFECTURE;22934672;A;;;;;Nanterre;;;;;
18;RER;MARNE-LA-VALLEE-CHESSY;5157016;A;;;;;Montévrain;;;;;
29;RER;SAINT-MAUR-CRETEIL;3564563;A;;;;;Saint-Maur des Fossés;;;;;
28;RER;NANTERRE-VILLE;3609052;A;;;;;Nanterre;;;;;
57;RER;PALAISEAU-VILLEBON;923579;B;;;;;Palaiseau;;;;;
66;RER;LA HACQUINIERE;451954;B;;;;;Bures sur Yvette;;;;;
69;Métro;CHATEAU DE VINCENNES;5581700;1;;;;;Vincennes;;;;;
74;Métro;PORTE DE SAINT-CLOUD;5311324;9;;;;;Paris;16;;;;
93;Métro;BASILIQUE DE SAINT-DENIS;4857996;13;;;;;Saint Denis;;;;;
103;Métro;PEREIRE;4547754;3;;;;;Paris;17;;;;
107;Métro;LAUMIERE;4311908;5;;;;;Paris;19;;;;
222;Métro;RANELAGH;2380218;9;;;;;Paris;16;;;;
223;Métro;LOUVRE;2366043;1;;;;;Paris;1;;;;
248;Métro;MAISON BLANCHE;2085927;7;;;;;Paris;13;;;;
269;Métro;SAINT-SEBASTIEN-FROISSART;1688254;8;;;;;Paris;3;;;;
286;Métro;TEMPLE;1270793;3;;;;;Paris;2;;;;
11;RER;CITE UNIVERSITAIRE;6911244;B;;;;;Paris;14;;;;
34;RER;LA CROIX DE BERNY;3158806;B;;;;;Antony;;;;;
35;RER;BUSSY-SAINT-GEORGES;2987714;A;;;;;Bussy-Saint-Georges;;;;;
50;RER;LES BACONNETS;1806210;B;;;;;Antony;;;;;
59;RER;GIF-SUR-YVETTE;766786;B;;;;;Gif sur Yvette;;;;;
63;RER;MASSY-VERRIERES;611015;B;;;;;Massy;;;;;
10;Métro;CHATELET;13466536;1;4;7;11;14;Paris;1;;;;
32;Métro;SAINT-MICHEL;7562865;4;;;;;Paris;5;;;;
43;Métro;CHAUSSEE D'ANTIN-LA FAYETTE;6945565;7;9;;;;Paris;9;;;;
29;Métro;MARCADET-POISSONNIERS;7963672;4;12;;;;Paris;18;;;;
62;Métro;GALLIENI;5884810;3;;;;;Bagnolet;;;;;
67;Métro;LES SABLONS;5740806;1;;;;;Neuilly Sur Seine;;;;;
95;Métro;BONNE NOUVELLE;4786149;8;9;;;;Paris;10;;;;
96;Métro;COLONEL FABIEN;4706560;2;;;;;Paris;10;;;;
